event_mei,naiyou,bikou,ctg_mei,terms_date,terme_date,kterms_date,toiawase,toiawasetel,kaisaichi,suri,area,city,address2,renrakusaki,remail,traffic,lat,lng,zoom
無料健康相談会「まちの保健室ｉｎ県立図書館」 11/8,こころやからだに関して気になることや悩みに看護職がアドバイスします。,■日時：１１月８日（水） １３：００～１６：００、　■場所：県立図書館　エントランスホール、　■対象：県民一般［当日受付、参加無料］、　■主催：公益社団法人福井県看護協会・福井県立図書館,その他,2023/11/8,2023/11/8,2023/10/11,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
人間関係がぐっとラクになる！コミュニケーション講座,◆内容：第1回感情的になる人の特徴・心理他 第2回課題解決力を高めるには？他　グループワークなど実践を取り入れ、意見交換しながら学んでいく楽しい講座です。◆日時：11月10日17日(金) 19時～20時30分（2回コース）◆会場：アオッサ6階研修室601◆対象：49歳までの働く女性で2回とも参加できる方（福井市内在住または在勤）◆定員：30名（応募多数の場合は抽選）◆参加費：無料,"◆講師：加藤裕美氏 株式会社For Smile代表取締役 ◆申込締切：11月1日（水）必着
◆https://www.city.fukui.lg.jp/kurasi/jinken/event/komi111017.html",講座・セミナー,2023/11/10,2023/11/17,2023/10/4,福井市男女共同参画・子ども家庭センター,0776-20-1537,アオッサ,http://www.aossa.jp/,福井・坂井,福井市,手寄1-4-1,0776-20-1537,,JR北陸本線・えちぜん鉄道「福井駅」下車徒歩１分,,,
無料法律相談会　11/16,生活上の様々な悩みごとについて、弁護士による無料の法律相談をご利用いただけます。（ただし、法律相談には一定の資力基準等があります。）,■日時：令和５年１１月１６日（木）１４：００～１６：００、　■場所：県立図書館　研修室、　■対象：県民一般［要申込（事前電話申込制）・参加無料］、　■主催：福井弁護士会・法テラス福井・福井県立図書館、　■申込・問合せ先：法テラス福井〔電話：０５０－３３８３－５４７５（受付時間：９：００～１７:００）〕,その他,2023/11/16,2023/11/16,2023/10/19,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
不調と上手に付き合おう！働く女性のためのヘルスケア講座,◆日時:11/19(日)10:00～11:40　◆会場:アオッサ6階 レクリエーションルーム　◆内容:1.「フェムテック」ってなんだろう？ 2.不調改善のためのかんたんヨガ　◆講師:1.藤本 朋美 氏(セーレン株式会社 インナー販売部 デザイナー) 2.北 ゆかり 氏(ヨガスタジオ柳田 インストラクター)　◆参加無料　◆申込締切:11/5(日),◆対象:福井市内在住または在勤の働く女性　◆定員:30名(抽選),講座・セミナー,2023/11/19,2023/11/19,2023/10/4,福井市男女共同参画・子ども家庭センター,0776-20-1537,アオッサ,http://www.aossa.jp,福井・坂井,福井市,手寄1-4-1,0776-20-1537,,JR北陸本線・えちぜん鉄道「福井駅」下車　徒歩1分,,,
子育てパパカレッジ「パパといっしょに　わくわくシミぬき実験」,親子で、おうちでもできる簡単なシミぬきなどを楽しく体験することで、男性保護者の家事・育児への参画を促進する講座です■日時：令和5年11月26日(日)10時～12時■会場：アオッサ6階工作実習室■対象：5歳～小学4年生までの子とその男性保護者（福井市内在住または在勤の方)■定員：12組■参加費：無料,■持ち物：ハンカチ2枚（汚れてもいい白っぽいもの）・エプロン（親子）・バスタオル1枚(使用済み可）・歯ブラシ1本（使用済み可）■講師：有賀利恵氏（有限会社クリーンマスター有賀）■申込締切：11月15日(水)必着■https://www.city.fukui.lg.jp/kurasi/jinken/event/senntaku1126.html,講座・セミナー,2023/11/26,2023/11/26,2023/10/19,福井市男女共同参画・子ども家庭センター,0776‐20‐1537,アオッサ,http://www.aossa.jp/,福井・坂井,福井市,手寄１－４－１,0776‐20‐1537,,ＪＲ北陸本線・えちぜん鉄道「福井駅」下車徒歩１分,,,
パパ家事応援講座「パパといっしょに♪パパっとCOOK☆」,親子で時短クッキングに挑戦して家事が楽しくなるちょっとしたコツを体験してもらい、父親の積極的な子育てや家事への参画を促す講座です■日時：令和5年12月3日(日)11時～13時■会場：アオッサ6階調理実習室■対象：4歳～小学3年生までの子とその男性保護者(福井市内在住または在勤)■定員：12組(抽選),"■参加費：1組2,000円(材料費)■講師1:浅田クッキングスクール 浅田由記子氏 講師2:パパッとCOOKレシピ考案者 管理栄養士 鴛田洋美氏■申込締切：11月19日(日)必着■HPリンク：https://www.city.fukui.lg.jp/kurasi/jinken/event/cook1203.html",講座・セミナー,2023/12/3,2023/12/3,2023/10/19,福井市男女共同参画・子ども家庭センター,0776‐20‐1537,アオッサ,http://www.aossa.jp/,福井・坂井,福井市,手寄１－４－１,0776‐20‐1537,,ＪＲ北陸本線・えちぜん鉄道「福井駅」下車徒歩１分,,,
無料法律相談会　12/14,生活上の様々な悩みごとについて、弁護士による無料の法律相談をご利用いただけます。（ただし、法律相談には一定の資力基準等があります。）,■日時：令和５年１２月１４日（木）１４：００～１６：００、　■場所：県立図書館　研修室、　■対象：県民一般［要申込（事前電話申込制）・参加無料］、　■主催：福井弁護士会・法テラス福井・福井県立図書館、　■申込・問合せ先：法テラス福井〔電話：０５０－３３８３－５４７５（受付時間：９：００～１７:００）〕,その他,2023/12/14,2023/12/14,2023/11/16,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
今こそ ＬＧＢＴＱを 学び、考えよう！,ＬＧＢＴＱに関する差別や偏見をなくすため、正しい知識の普及や多様な性的指向・性自認への理解促進を図るための講座です■日時：令和5年12月16日(土)10時～11時30分■会場：アオッサ6階研修室601■対象：どなたでも応募できます■定員：30名(抽選)■参加費：無料,■講師：岡崎 玲子 氏（福井大学　保健管理センター　医師）■申込締切：11月28日(火)必着■https://www.city.fukui.lg.jp/kurasi/jinken/event/imakoso1216.html,講座・セミナー,2023/12/16,2023/12/16,2023/10/31,福井市男女共同参画・子ども家庭センター,0776‐20‐1537,アオッサ,http://www.aossa.jp/,福井・坂井,福井市,手寄１－４－１,0776‐20‐1537,,ＪＲ北陸本線・えちぜん鉄道「福井駅」下車徒歩１分,,,
無料法律相談会　1/18,生活上の様々な悩みごとについて、弁護士による無料の法律相談をご利用いただけます。（ただし、法律相談には一定の資力基準等があります。）,■日時：令和６年１月１８日（木）１４：００～１６：００、　■場所：県立図書館　研修室、　■対象：県民一般［要申込（事前電話申込制）・参加無料］、　■主催：福井弁護士会・法テラス福井・福井県立図書館、　■申込・問合せ先：法テラス福井〔電話：０５０－３３８３－５４７５（受付時間：９：００～１７:００）〕,その他,2024/1/18,2024/1/18,2023/12/14,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
無料法律相談会　2/15,生活上の様々な悩みごとについて、弁護士による無料の法律相談をご利用いただけます。（ただし、法律相談には一定の資力基準等があります。）,■日時：令和６年２月１５日（木）１４：００～１６：００、　■場所：県立図書館　研修室、　■対象：県民一般［要申込（事前電話申込制）・参加無料］、　■主催：福井弁護士会・法テラス福井・福井県立図書館、　■申込・問合せ先：法テラス福井〔電話：０５０－３３８３－５４７５（受付時間：９：００～１７:００）〕,その他,2024/2/15,2024/2/15,2024/1/18,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
無料法律相談会　3/14,生活上の様々な悩みごとについて、弁護士による無料の法律相談をご利用いただけます。（ただし、法律相談には一定の資力基準等があります。）,■日時：令和６年３月１４日（木）１４：００～１６：００、　■場所：県立図書館　研修室、　■対象：県民一般［要申込（事前電話申込制）・参加無料］、　■主催：福井弁護士会・法テラス福井・福井県立図書館、　■申込・問合せ先：法テラス福井〔電話：０５０－３３８３－５４７５（受付時間：９：００～１７:００）〕,その他,2024/3/14,2024/3/14,2024/2/15,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
